alloy_grade,billet_temperature_C,container_temperature_C,die_temperature_C,ram_speed_mm_per_sec,billet_diameter_mm,extrusion_ratio,mean_strain_rate_per_sec,zener_hollomon_parameter,flow_stress_MPa,exit_temperature_C,ram_pressure_MPa,exit_speed_mm_per_sec,surface_quality_score,run_is_valid
AA7075,481.71,394.18,442.77,5.131,111.21,14.0,0.234671,21399668918.736,22.519,483.68,69.51,72.486,0.0,True
AA6061,437.8,393.02,394.24,3.093,116.73,27.28,0.169287,32406637691.732,25.67,455.05,96.07,85.371,0.0,True
AA7075,469.18,410.57,458.75,4.301,140.2,37.21,0.210246,26788612403.74,23.283,482.06,98.35,158.798,0.0,True
AA6061,475.56,413.99,389.97,4.368,82.41,46.37,0.397134,22065200718.584,24.386,491.47,109.55,207.112,0.0,True
AA7075,488.17,418.64,411.88,7.569,130.91,23.06,0.342763,25279261137.536,23.084,495.02,84.93,172.653,0.0,True
AA6063,432.3,445.11,385.12,7.893,134.06,17.95,0.325322,38771856148.405,28.625,458.86,98.34,141.941,0.0,True
AA6061,425.59,410.73,432.57,5.701,121.39,20.99,0.271136,64127964204.971,28.017,449.88,100.38,118.828,0.0,True
AA6063,437.01,453.95,419.65,4.984,128.69,15.57,0.201411,19882223364.357,26.299,460.07,86.04,76.978,0.0,True
AA6061,469.97,449.39,443.9,2.233,142.48,31.57,0.106713,5598197192.617,20.064,487.48,81.38,72.809,0.0,True
AA7075,432.69,422.16,416.69,5.91,98.86,19.77,0.337061,123150739622.459,28.749,454.53,100.45,115.567,0.0,True
AA6061,475.26,436.9,393.08,7.913,98.67,49.06,0.601625,29174754468.323,25.316,500.72,118.03,391.741,0.0,True
AA6061,500.25,397.96,434.36,6.441,96.63,39.13,0.458836,14101745947.474,22.928,506.25,97.38,247.737,0.0,True
AA6063,489.1,403.61,398.1,6.024,136.67,23.95,0.265314,7301289402.073,22.981,494.86,86.44,143.154,0.0,True
AA7075,489.86,400.43,431.36,6.78,118.86,31.19,0.371459,27320815584.478,23.35,499.35,92.62,209.587,0.0,True
AA7075,489.36,414.15,451.59,6.948,145.49,41.41,0.340024,24735252632.394,23.01,498.61,97.18,288.094,0.0,True
AA7075,473.12,398.35,437.8,2.756,102.78,39.86,0.182215,22907919402.468,22.749,482.06,96.82,106.056,0.0,True
AA7075,441.34,425.85,459.16,4.427,143.43,27.38,0.19423,55629830873.842,25.845,460.84,97.71,120.65,0.0,True
AA7075,482.09,381.54,459.9,4.292,99.57,45.34,0.313831,32336201561.805,23.931,490.17,105.88,194.49,0.0,True
AA7075,440.33,420.21,408.96,3.711,139.09,47.2,0.199142,57100738143.282,25.938,467.37,116.07,177.609,0.0,True
AA6063,476.22,409.63,404.92,6.666,136.71,44.68,0.353817,13565147039.353,25.007,497.41,112.45,297.835,0.0,True
AA6061,493.52,405.17,410.73,1.577,120.48,11.44,0.064044,2337601780.859,17.556,486.72,51.91,18.962,3.26,True
AA6063,464.17,443.44,398.63,5.402,85.97,12.07,0.296553,14512691042.327,25.233,475.82,74.49,64.683,0.0,True
AA6061,423.15,411.11,414.31,6.216,97.56,17.37,0.346975,93143964642.518,29.333,447.04,99.41,107.859,0.0,True
AA6061,429.17,394.17,454.86,5.438,116.17,36.28,0.322845,83451755438.601,28.944,454.34,121.08,198.4,0.0,True
AA7075,421.96,448.33,434.3,4.254,86.85,29.66,0.321987,139973055552.269,29.227,457.71,117.85,128.128,0.0,True
AA6061,441.44,381.37,455.85,4.534,117.76,37.36,0.264672,48290508506.234,27.032,464.02,117.08,168.385,0.0,True
AA6063,456.94,423.03,455.11,3.678,147.28,46.21,0.184052,11440959355.73,24.441,479.1,110.68,171.118,0.0,True
AA6061,476.29,429.61,448.41,6.084,136.24,21.28,0.263424,13192038987.785,22.714,486.91,83.08,130.785,0.0,True
AA6061,464.62,402.34,432.84,6.137,96.68,25.11,0.393474,31488116549.575,25.573,480.22,96.27,155.159,0.0,True
AA7075,497.21,426.67,431.17,4.171,100.52,23.15,0.247071,13608696207.09,21.017,500.61,75.95,95.806,0.0,True
AA7075,500.56,384.97,439.02,4.824,129.41,48.75,0.276558,16875659946.209,21.725,500.69,98.01,235.025,0.0,True
AA6063,486.9,436.02,385.84,1.662,149.06,24.97,0.065709,1691798948.56,18.571,489.7,72.28,39.8,0.18,True
AA6061,447.07,415.29,401.13,3.893,120.0,39.64,0.224678,28785593999.887,25.271,469.26,106.51,152.071,0.0,True
AA6063,426.36,422.17,415.75,6.561,148.45,32.24,0.295569,45860589313.09,29.223,456.63,117.21,213.261,0.0,True
AA6063,470.09,427.72,450.64,1.357,99.67,48.02,0.097789,4058497153.561,21.143,487.28,93.54,63.292,0.0,True
AA6061,437.71,399.67,407.31,2.854,111.73,11.29,0.116842,20651129477.399,24.167,448.57,69.83,31.841,0.0,True
AA6063,470.25,412.99,452.91,7.13,83.17,11.05,0.38971,17847034109.806,25.931,477.2,75.1,78.073,0.0,True
AA7075,430.87,381.9,386.95,5.883,117.4,40.0,0.350561,176179839299.218,30.091,451.98,128.72,233.659,0.0,True
AA6063,429.5,456.02,428.74,2.703,127.02,34.73,0.13871,15933235223.09,25.547,462.42,108.25,90.303,0.0,True
AA6063,464.8,426.24,449.17,3.859,89.38,11.15,0.197067,9804918705.104,23.934,475.47,65.21,42.647,0.02,True
AA6061,464.61,385.4,439.08,4.864,111.56,46.42,0.317459,27461283248.381,25.113,484.81,112.33,224.302,0.0,True
AA6063,440.54,416.66,457.3,4.473,103.01,35.34,0.294005,30503086613.703,27.78,469.43,115.31,157.186,0.0,True
AA7075,460.98,457.77,429.84,2.686,137.53,23.8,0.112998,14360782222.366,21.193,478.47,78.2,61.102,0.0,True
AA6063,460.16,435.01,383.76,6.634,123.95,13.27,0.262764,13866288975.473,25.08,473.27,75.27,87.53,0.0,True
AA7075,494.79,399.36,440.44,4.764,130.44,12.49,0.174478,11648304959.173,20.514,488.33,60.5,58.956,0.0,True
AA7075,450.4,382.52,406.82,2.513,102.92,14.79,0.12398,33238492448.619,24.027,453.74,75.94,36.682,0.78,True
AA7075,479.17,425.46,426.91,4.869,106.51,23.5,0.280264,25186665041.214,23.072,489.51,84.97,116.343,0.0,True
